"Accomplished Automaton",1.0,"Despite my enduring love for Hexplate Golem, I canÅft realistically claim that Accomplished Automaton is going to live up to its name. A 6/8 or a 5/7 + a 1/1 is a passable deal for 7?mana, but IÅfd hope that you can do better. Where this may fit is in control decks that need finishers and canÅft pick anything else up, making it a card you can likely get?almost automatically as a late pick."
"Aetherflux Reservoir",1.0,"Setting aside the second part of the card, this is a fairly powerful life gain engine. At one spell per turn, it does very little, but once you play two spells a turn you are gaining 3?life, and the third spell nets you another 3. An artifact that simply said Åggain 2 life per turnÅh would be a solid control card, and this reads as slightly worse than that to me. ItÅfs not outside the realm of playable, but requires enough spells that IÅfm skeptical of it actually delivering.As for the 50 life partÅ\that isnÅft really a factor. You arenÅft getting to 50 life in games you are losing?anyway."
"Aetherworks Marvel",1.0/3.5,"This is the classic build-around grade, where the card goes from unplayable to marvelous, depending on the rest of your deck. This doesnÅft do a ton until you get to 6?energy, but once you do it draws you a card (with a lot of selection) and adds a bunch of mana, which is a sizable reward. It also combines well with tokens that die, and really gives you an edge if you prolong the game. I think this card works. It needs to be activated twice to pay for itself, but in a tokens/energy deck, that seems doable. I wouldnÅft move all-in on it over a solid removal spell, though I would take this if my deck was already heading in a direction to support it."
"Animation Module",1.0/2.5,"Animation Module also gets a build-around grade (there are a lot of cards like this in the set), but here the ceiling is a lot lower. You need to make 3?or 4?Servos to get value from this, and even though it fuels itself with the second ability, it still needs +1/+1 counters somewhere to get started. In the deck that wants this, it seems solid but not amazing, and most decks are not going to want it."
"Aradara Express",1.5,"I guess the Vehicles train starts here. LetÅfs get to it.Vehicles are more like a new take on equipment than they are creatures, though there are similarities to both. Because they require creatures to function, they fill noncreature nonremoval slots in your deck, meaning that having too many Vehicles is a big risk. The higher crew numbers also scale very rapidlyÅ\crew 4 is a much bigger cost than crew 2, because of how often you wonÅft be able to activate those higher numbers.What Vehicles do well is give you an inflated set of stats to cost, meaning that if you successfully crew them, you get a good deal from your card. They also dodge sorcery-speed removal, and have a bunch of positive interactions with Pilots (creatures that give bonuses to the Vehicles they crew).This isnÅft one of the better vehicles, just because of how much you have to pay in terms of mana and crew cost. ItÅfs adding 4 damage to the board, though menace and giant stats means that the Express may get through when the crew wouldnÅft. This plays to my fears of paying a bunch of mana for a Vehicle and having my opponent bounce/kill it after activating, or killing off potential crew and leaving me with a brick.The Express seems like a passable high-end card in a deck full of creatures, but is largely worse than other Vehicles that are competing for the same slots."
"Ballista Charger",3.0,"Even though IÅfm getting charged the same amount of mana for this as Aradara Express, I like this one a lot more. One less crew number is big, and pinging for 1?means that you will often be able to set up turns where you get to kill one of their creatures for free. That makes this easier to use and easier to reach card parity, meaning that even if there are turns where it doesnÅft work, you arenÅft down so?much."
"Bastion Mastodon",1.0,"For this cycle of creatures with colored activations, I will often provide two ratings. Bastion Mastodon doesnÅft warrant that, as itÅfs mediocre whether you have white mana or not. You may well end up playing this if you need a random artifact body, but itÅfs nothing exciting."
"Bomat Bazaar Barge",3.5,"ItÅfd be bizarre for me to dislike a giant threat that draws a card, and this meets my requirements for a card IÅfd be willing to take early. You can still be stuck paying 4?mana for a card that just cycles, so make sure to have a decent number of creatures in your deck, though the risk is much lower with this than other Vehicles."
"Bomat Courier",0.5,"This has interesting implications in Constructed, but in Limited itÅfs often going to be a lot of work just to get a card or two (and you are probably discarding that many anyway). A 1/1 will die in combat often enough that you arenÅft stacking a bunch of cards under this, so you are paying a card and discarding your hand to draw maybe two cards? I can appreciate sending a message, but this one comes at too high a setup cost."
"Chief of the Foundry",3.0,"It doesnÅft take much before this justifies a slot in your deck, as a 3-mana 2/3 is only a little below what I like to pay for stats. Chief among your concerns should be picking up fabricate cards, but even Vehicles benefit nicely from this, and crewing them with it is a pretty sweet combo. This is low risk and high reward, making it a solid early pick."
"CogworkerÅfs Puzzleknot",1.0,"This whole cycle is knot playable if you canÅft activate the second ability, and in the case of this one, even if you can. Paying 4?mana for two 1/1s is just not a good deal, and the only way I can really envision playing this is if you are black-white and have a ton of artifact-matters cards."
"Consulate Skygate",1.0,"In a land of Vehicles, a defender that just sits there and doesnÅft punish the opponent for attacking is not what you're looking for. Vehicles mean that you will eventually be attacked by undercosted monsters, none of which get stopped by the Skygate, and even the go-wide fabricate decks wonÅft be deterred by this. I donÅft mind having one of these to sideboard in against flier decks, but past that IÅfm not into it."
"CultivatorÅfs Caravan",3.5,"I really like CultivatorÅfs Caravan. ItÅfs a real card even if you canÅft crew it, as it accelerates you and fixes your mana, and then later it becomes a gigantic threat. ThatÅfs exactly the kind of split card IÅfm looking for, where flexibility plus power meet."
