@relation archetype_prediction

@attribute archetype string
@attribute card1 string
@attribute card2 string
@attribute card3 string
@attribute card4 string
@attribute card5 string
@attribute card6 string
@attribute card7 string
@attribute card8 string
@attribute card9 string
@attribute card10 string
@attribute card11 string
@attribute card12 string
@attribute card13 string
@attribute card14 string
@attribute card15 string
@attribute card16 string
@attribute card17 string
@attribute card18 string
@attribute card19 string
@attribute card20 string
@attribute card21 string
@attribute card22 string
@attribute card23 string
@attribute card24 string
@attribute card25 string
@attribute card26 string
@attribute card27 string
@attribute card28 string
@attribute card29 string
@attribute card30 string
@attribute card31 string
@attribute card32 string
@attribute card33 string
@attribute card34 string
@attribute card35 string
@attribute card36 string
@attribute card37 string
@attribute card38 string
@attribute card39 string
@attribute card40 string
@attribute card41 string
@attribute card42 string
@attribute card43 string
@attribute card44 string
@attribute card45 string
@attribute card46 string
@attribute card47 string
@attribute card48 string
@attribute card49 string
@attribute card50 string
@attribute card51 string
@attribute card52 string
@attribute card53 string
@attribute card54 string
@attribute card55 string
@attribute card56 string
@attribute card57 string
@attribute card58 string
@attribute card59 string
@attribute card60 string
@attribute card61 string
@attribute card62 string
@attribute card63 string
@attribute card64 string
@attribute card65 string
@attribute card66 string
@attribute card67 string
@attribute card68 string
@attribute card69 string
@attribute card70 string
@attribute card71 string
@attribute card72 string
@attribute card73 string
@attribute card74 string
@attribute card75 string

@data
WUG_Aggro,0,0,0,1,1,1,1,2,2,2,2,3,3,4,4,4,5,5,5,6,6,6,6,7,7,8,8,9,9,9,9,10,10,11,11,11,11,12,12,13,14,14,14,14,15,15,15,15,16,16,16,17,17,17,17,18,18,18,18,19,20,21,22,22,23,23,23,24,24,24,25,25,25,26,27
WUG_Aggro,0,0,0,1,1,1,1,2,2,2,3,4,4,5,5,5,5,6,6,6,6,28,7,7,7,7,8,8,9,9,9,11,11,11,11,29,29,30,30,30,30,12,13,14,14,14,14,15,15,15,15,16,16,17,17,17,17,18,18,18,29,31,31,21,32,32,23,23,23,24,24,25,27,27,27
WUG_Aggro,0,0,1,1,1,1,2,2,2,2,33,3,3,4,4,5,5,5,34,6,6,7,7,7,7,8,8,35,35,35,35,11,11,30,30,30,30,12,12,12,13,13,14,14,14,36,36,36,15,15,15,15,17,17,17,17,18,18,18,18,31,31,31,14,37,37,23,23,23,24,24,38,38,27,27
WUG_Aggro,0,0,0,0,1,1,1,1,2,2,2,3,4,4,5,5,5,6,6,6,6,28,7,7,7,7,8,8,9,9,9,11,11,11,11,29,29,29,12,12,12,13,14,14,14,14,15,15,15,15,16,16,17,17,17,17,18,18,18,18,21,21,36,36,37,37,39,39,23,23,23,24,24,25,25
WUG_Aggro,0,0,0,0,1,1,1,1,2,2,2,33,33,33,3,4,4,4,5,5,5,6,6,6,7,9,9,9,9,40,40,40,41,41,41,41,14,14,14,14,15,15,15,15,18,18,18,18,24,24,24,25,27,27,27,27,42,42,42,42,43,43,37,37,37,22,22,44,39,23,23,23,45,25,25
WUG_Aggro,0,0,1,1,1,1,2,2,2,2,3,3,4,4,4,4,5,5,5,6,6,28,7,7,7,7,8,8,11,11,29,29,29,29,12,12,12,41,41,13,14,14,14,14,15,15,15,15,16,16,16,16,17,17,17,17,18,18,18,19,46,46,44,18,23,23,23,23,19,24,24,38,25,25,25
WUG_Aggro,0,0,0,1,1,1,1,2,2,2,3,4,4,5,5,5,5,6,6,6,6,7,7,7,7,8,8,11,11,11,29,29,30,30,12,12,12,13,13,14,14,14,14,36,36,15,15,15,15,16,16,16,17,17,17,17,18,18,18,18,21,23,23,23,24,24,24,25,25,25,47,27,27,42,42
WUG_Aggro,0,0,0,1,1,1,1,2,2,2,2,3,3,4,4,4,5,5,5,6,6,6,6,7,7,8,8,9,9,9,9,11,11,11,11,12,12,12,13,13,14,14,14,14,15,15,15,15,16,16,16,17,17,17,17,18,18,18,18,27,48,16,22,44,44,39,39,23,23,24,25,25,25,26,27
WUG_Aggro,0,0,0,0,1,1,1,1,2,2,2,2,2,33,33,3,3,4,4,5,5,6,6,6,6,8,8,9,9,9,9,11,11,11,11,41,41,41,13,13,14,14,14,14,15,15,15,15,16,16,16,16,17,17,17,17,18,18,18,18,48,49,22,39,39,23,23,23,19,24,24,25,25,50,50
WUG_Aggro,0,0,0,1,1,1,1,2,2,2,2,3,3,4,4,4,5,5,5,6,6,6,6,7,7,8,8,11,11,11,30,30,30,30,12,12,12,13,13,14,14,14,14,36,36,36,15,15,15,15,16,16,17,17,17,17,18,18,18,19,48,37,37,18,23,23,23,23,19,19,24,24,25,25,27
