@relation mana_analysis

@attribute sum_of_manacost_point_at_mainboard numeric %111
@attribute needed_white_mana_at_mainboard numeric %0
@attribute needed_blue_mana_at_mainboard numeric %0
@attribute needed_black_mana_at_mainboard numeric %47
@attribute needed_red_mana_at_mainboard numeric %0
@attribute needed_green_mana_at_mainboard numeric% 7
@attribute needed_colorless_mana_at_mainboard numeric% 0

@attribute generating_white_mana_at_mainboard numeric %3
@attribute generating_blue_mana_at_mainboard numeric %3
@attribute generating_black_mana_at_mainboard numeric %21
@attribute generating_red_mana_at_mainboard numeric %3
@attribute generating_green_mana_at_mainboard numeric %14
@attribute generating_colorless_mana_at_mainboard numeric %2

@data
111,0,0,47,0,7,0,?,3,21,3,14,2 %BG_Con_JF
99,0,0,25,16,9,0,4,4,19,15,12,2 %BRG_ControlkD01417K
128,0,25,0,0,0,4,0,16,0,6,0,10 %Eldrazi_RampkD03081W
114,0,20,0,7,0,9,3,14,0,14,0,14 %Eldrazi_StompykD01415K
78,27,0,0,0,21,0,15,0,0,0,15,3 %GW_AggrokD03079W
96,8,4,6,0,28,0,17,17,21,12,23,22 %Monitor_CombokD01413K
96,8,4,6,0,28,0,17,17,21,12,23,22 %Monitor_CombokD01414K
62,50,0,0,0,0,0,18,0,0,0,0,0 %Mono_White_AggrokD01412K
62,50,0,0,0,0,0,18,0,0,0,0,0 %Mono_White_AggrokD03076W
108,0,0,0,23,11,0,0,0,0,12,15,4 %RG_GoggleskD01411K
147,0,0,0,9,26,0,0,0,0,6,15,1 %RG_RampkD01448K
105,0,22,0,30,0,0,0,15,0,16,0,6 %UR_AggrokD01416K
69,0,19,0,31,0,0,0,14,0,17,0,4 %UR_AggrokD03078W
112,20,0,37,0,0,0,15,0,18,0,0,8 %WB_ControlkD03077W
91,15,0,0,21,12,0,15,3,3,17,15,3 %WRG_AggrokD01418K
85,24,5,0,0,18,0,20,10,4,4,15,1 %WUG_AggrokD03080W
0,0,0,0,0,0,0,0,0,0,0,0,0 %60880
236,0,0,19,0,31,0,4,4,17,4,20,5 %BG_ControlkD01438K
114,0,0,50,0,7,0,3,3,20,3,14,3 %BG_ControlkD09251S
235,0,0,18,0,31,0,4,4,17,4,20,5 %BG_ControlkD09339S
235,0,0,18,0,31,0,4,4,17,4,20,5 %BG_ControlkD09379S
85,0,0,15,0,27,0,7,7,19,7,22,15 %BG_HuskkD02991W
85,0,0,13,0,28,0,7,7,19,7,22,15 %BG_HuskkD02996W
94,0,2,14,0,27,0,7,11,19,7,23,18 %BG_HuskkD03045W
84,0,0,16,0,27,0,7,7,19,7,23,14 %BG_HuskkD09495S
98,0,0,24,7,18,0,4,4,16,12,16,2 %BRG_AggrokD02997W
147,0,0,20,11,15,4,3,0,14,10,12,7 %BRG_AggrokD09391S
109,0,0,26,18,8,0,4,4,19,16,12,0 %BRG_AggrokD09430S
101,0,0,26,15,8,0,4,4,19,14,14,1 %BRG_AggrokD09510S
150,0,24,0,2,0,6,0,18,2,20,0,16 %Eldrazi_RampkD01430K
168,0,27,0,6,0,4,0,18,2,20,0,16 %Eldrazi_RampkD01442K
168,0,27,0,6,0,4,0,18,2,20,0,16 %Eldrazi_RampkD01447K
172,0,26,0,3,0,6,0,18,1,20,0,14 %Eldrazi_RampkD03030W
168,0,27,0,6,0,4,0,18,2,20,0,16 %Eldrazi_RampkD09383S
191,0,8,0,0,21,6,4,21,4,4,12,5 %Eldrazi_RampkD09392S
164,0,28,0,6,0,4,0,18,2,20,0,16 %Eldrazi_RampkD09494S
236,0,0,19,0,31,0,4,4,17,4,20,5 %Eldrazi_RampkD09508S
235,0,0,19,0,31,0,4,4,17,4,20,5 %Eldrazi_RampkD09518S
110,21,0,0,0,0,16,18,0,4,4,0,19 %Eldrazi_StompykD01434K
110,23,0,0,0,0,15,18,0,4,4,0,19 %Eldrazi_StompykD01435K
108,10,0,0,18,0,6,13,1,4,18,0,16 %Eldrazi_StompykD01444K
100,3,0,0,28,0,8,10,0,0,24,0,18 %Eldrazi_StompykD01445K
108,0,18,0,8,0,8,1,15,0,12,2,18 %Eldrazi_StompykD09256S
103,0,16,0,26,0,4,3,16,0,17,2,10 %Eldrazi_StompykD09259S
110,26,0,0,0,0,12,18,0,4,4,0,19 %Eldrazi_StompykD09288S
110,22,0,0,0,0,15,18,0,4,4,0,19 %Eldrazi_StompykD09515S
83,27,0,0,0,18,0,16,2,2,2,16,3 %GW_AggrokD01429K
81,26,0,0,0,22,0,15,0,0,0,16,2 %GW_AggrokD03032W
84,26,0,0,0,22,0,15,0,0,0,17,2 %GW_AggrokD03049W
88,30,0,0,0,20,0,15,0,0,0,15,3 %GW_AggrokD09285S
80,27,0,0,0,22,0,15,0,0,0,15,3 %GW_AggrokD09345S
82,23,0,0,0,24,0,15,0,0,0,16,2 %GW_AggrokD09346S
80,22,0,0,0,24,0,15,0,0,0,17,2 %GW_AggrokD09348S
81,26,0,0,0,22,0,15,0,0,0,16,2 %GW_AggrokD09377S
83,26,0,0,0,22,0,15,0,0,0,16,2 %GW_AggrokD09381S
80,23,0,0,0,24,0,14,0,0,0,16,3 %GW_AggrokD09390S
88,27,0,0,0,22,0,15,0,0,0,15,3 %GW_AggrokD09425S
80,24,0,0,0,23,0,15,0,0,0,16,2 %GW_AggrokD09436S
86,26,0,0,0,23,0,15,0,0,0,15,3 %GW_AggrokD09499S
84,26,0,0,0,22,0,15,0,0,0,17,2 %GW_AggrokD09516S
85,26,0,0,0,24,0,15,0,0,0,16,2 %GW_AggrokD09522S
112,20,0,37,0,0,0,15,0,18,0,0,8 %GW_AggrokD09528S
86,26,0,0,0,22,0,15,0,0,0,17,2 %GW_AggrokD09533S
