Blighted Cataract,1
Corrupted Crossroads,3
Foundry of the Consuls,3
Island,4
Mountain,1
Rogue's Passage,1
Sea Gate Wreckage,2
Shivan Reef,4
Wandering Fumarole,4
Westvale Abbey,2
Dimensional Infiltrator,4
Drowner of Hope,2
Eldrazi Obligator,1
Eldrazi Skyspawner,4
Matter Reshaper,3
Reality Smasher,4
Thought-Knot Seer,4
Vile Aggregate,2
Whirler Rogue,2
Brutal Expulsion,1
Negate,3
Spatial Contortion,3
Warping Wail,1
Roast,1
Eldrazi Obligator,1
Brutal Expulsion,1
Negate,1
Spatial Contortion,1
Tears of Valakut,3
Warping Wail,1
Crumble to Dust,1
Displacement Wave,2
Roast,2
Chandra Flamecaller,2
