info,Monitor_Combo_kD03043W 42830
land,Caves of Koilos,4,,C-W-B,300,http://www.hareruyamtg.com/jp/g/gORI000245JN/,2016-05-18T12:29:54+09:00,
land,Evolving Wilds,4,,A,20,http://www.hareruyamtg.com/jp/g/gBFZ000236JN/,2016-05-18T12:30:14+09:00,
land,Forest,6,,G,20,http://www.hareruyamtg.com/jp/g/gSOI000297JN/,2016-05-18T12:30:15+09:00,
land,Llanowar Wastes,4,,C-B-G,500,http://www.hareruyamtg.com/jp/g/gORI000248JN/,2016-05-18T12:30:26+09:00,
land,Plains,1,,W,20,http://www.hareruyamtg.com/jp/g/gSOI000285JN/,2016-05-18T12:30:27+09:00,
land,Swamp,1,,B,20,http://www.hareruyamtg.com/jp/g/gSOI000291JN/,2016-05-18T12:30:28+09:00,
land,Westvale Abbey,3,,C,1500,http://www.hareruyamtg.com/jp/g/gSOI000281JN/,2016-05-18T12:30:40+09:00,
info,23 Lands 7940
creature,Brood Monitor,3,4GG,nil,50,http://www.hareruyamtg.com/jp/g/gBFZ000164JN/,2016-05-18T12:30:42+09:00,
creature,Catacomb Sifter,4,1BG,nil,40,http://www.hareruyamtg.com/jp/g/gBFZ000201JN/,2016-05-18T12:31:07+09:00,
creature,Duskwatch Recruiter,4,1G,nil,250,http://www.hareruyamtg.com/jp/g/gSOI000203JN/,2016-05-18T12:31:08+09:00,
creature,Eldrazi Displacer,4,2W,nil,800,http://www.hareruyamtg.com/jp/g/gOGW000013JN/,2016-05-18T12:31:10+09:00,
creature,Elvish Visionary,4,1G,nil,50,http://www.hareruyamtg.com/jp/g/gORI000175JN/,2016-05-18T12:31:13+09:00,
creature,Matter Reshaper,4,2C,nil,700,http://www.hareruyamtg.com/jp/g/gOGW000006JN/,2016-05-18T12:31:15+09:00,
creature,Nantuko Husk,2,2B,nil,20,http://www.hareruyamtg.com/jp/g/gORI000109JN/,2016-05-18T12:31:17+09:00,
creature,Zulaport Cutthroat,4,1B,nil,90,http://www.hareruyamtg.com/jp/g/gBFZ000126JN/,2016-05-18T12:31:20+09:00,
info,29 Creatures 7910
spell,Collected Company,4,3G,nil,2800,http://www.hareruyamtg.com/jp/g/gDTK000026JN/,2016-05-18T12:31:21+09:00,
spell,Cryptolith Rite,4,1G,C-A,800,http://www.hareruyamtg.com/jp/g/gSOI000200JN/,2016-05-18T12:31:45+09:00,
info,8 Spells 14400
info,60 MainboardCards 30250 W13U8B17R8G18C15A8
sideboardCards,Enlightened Ascetic,1,1W,nil,20,http://www.hareruyamtg.com/jp/g/gORI000012JN/,2016-05-18T12:31:47+09:00,
sideboardCards,Gilt-Leaf Winnower,2,3BB,nil,80,http://www.hareruyamtg.com/jp/g/gORI000099JN/,2016-05-18T12:31:49+09:00,
sideboardCards,Reality Smasher,4,4C,nil,1100,http://www.hareruyamtg.com/jp/g/gOGW000007JN/,2016-05-18T12:31:51+09:00,
sideboardCards,Thought-Knot Seer,2,3C,nil,1700,http://www.hareruyamtg.com/jp/g/gOGW000009JN/,2016-05-18T12:31:52+09:00,
sideboardCards,Tireless Tracker,2,2G,nil,1500,http://www.hareruyamtg.com/jp/g/gSOI000233JN/,2016-05-18T12:32:06+09:00,
sideboardCards,Anguished Unmaking,2,1WB,nil,650,http://www.hareruyamtg.com/jp/g/gSOI000242JN/,2016-05-18T12:32:07+09:00,
sideboardCards,Warping Wail,2,1C,nil,150,http://www.hareruyamtg.com/jp/g/gOGW000012JN/,2016-05-18T12:32:09+09:00,
info,15 SideboardCards 12580 W0U0B0R0G0C0A0
info,http://www.hareruyamtg.com/jp/k/kD03043W/
