info,Mono_White_Aggro_kD03070W 21830
land,Plains,18,,W,20,http://www.hareruyamtg.com/jp/g/gSOI000285JN/,2016-05-18T12:12:51+09:00,
land,Rogue's Passage,1,,C,20,http://www.hareruyamtg.com/jp/g/gORI000250JN/,2016-05-18T12:13:05+09:00,
info,19 Lands 380
creature,Anointer of Champions,1,W,nil,10,http://www.hareruyamtg.com/jp/g/gORI000003JN/,2016-05-18T12:13:31+09:00,
creature,Dragon Hunter,4,W,nil,50,http://www.hareruyamtg.com/jp/g/gDTK000085JN/,2016-05-18T12:13:33+09:00,
creature,Expedition Envoy,3,W,nil,30,http://www.hareruyamtg.com/jp/g/gBFZ000024JN/,2016-05-18T12:13:46+09:00,
creature,Hanweir Militia Captain,4,1W,nil,200,http://www.hareruyamtg.com/jp/g/gSOI000021JN/,2016-05-18T12:13:49+09:00,
creature,Knight of the White Orchid,4,WW,nil,650,http://www.hareruyamtg.com/jp/g/gORI000022JN/,2016-05-18T12:13:50+09:00,
creature,KytheonPERIOD Hero of Akros,3,W,nil,1300,http://www.hareruyamtg.com/jp/g/gORI000014JN/,2016-05-18T12:13:52+09:00,
creature,Thalia's Lieutenant,4,1W,nil,600,http://www.hareruyamtg.com/jp/g/gSOI000043JN/,2016-05-18T12:13:56+09:00,
creature,Thraben Inspector,4,W,nil,60,http://www.hareruyamtg.com/jp/g/gSOI000044JN/,2016-05-18T12:13:58+09:00,
creature,Town Gossipmonger,4,W,nil,80,http://www.hareruyamtg.com/jp/g/gSOI000046JN/,2016-05-18T12:14:01+09:00,
info,31 Creatures 10560
spell,Declaration in Stone,1,1W,nil,1900,http://www.hareruyamtg.com/jp/g/gSOI000012JN/,2016-05-18T12:14:03+09:00,
spell,Always Watching,4,1WW,nil,450,http://www.hareruyamtg.com/jp/g/gSOI000001JN/,2016-05-18T12:14:28+09:00,
spell,Gryff's Boon,3,W,nil,60,http://www.hareruyamtg.com/jp/g/gSOI000020JN/,2016-05-18T12:14:30+09:00,
spell,Stasis Snare,2,1WW,nil,150,http://www.hareruyamtg.com/jp/g/gBFZ000050JN/,2016-05-18T12:14:32+09:00,
info,10 Spells 4180
info,60 MainboardCards 15120 W18U0B0R0G0C1A0
sideboardCards,Westvale Abbey,2,,C,1500,http://www.hareruyamtg.com/jp/g/gSOI000281JN/,2016-05-18T12:14:55+09:00,
sideboardCards,Bygone Bishop,1,2W,nil,120,http://www.hareruyamtg.com/jp/g/gSOI000008JN/,2016-05-18T12:14:56+09:00,
sideboardCards,Felidar Cub,1,1W,nil,20,http://www.hareruyamtg.com/jp/g/gBFZ000025JN/,2016-05-18T12:14:58+09:00,
sideboardCards,Vryn Wingmare,3,2W,nil,100,http://www.hareruyamtg.com/jp/g/gORI000040JN/,2016-05-18T12:14:59+09:00,
sideboardCards,Expose Evil,1,1W,nil,10,http://www.hareruyamtg.com/jp/g/gSOI000019JN/,2016-05-18T12:15:01+09:00,
sideboardCards,Secure the Wastes,2,‚wW,nil,1100,http://www.hareruyamtg.com/jp/g/gDTK000058JN/,2016-05-18T12:15:03+09:00,
sideboardCards,Gryff's Boon,1,W,nil,60,http://www.hareruyamtg.com/jp/g/gSOI000020JN/,2016-05-18T12:15:06+09:00,
sideboardCards,Silkwrap,4,1W,nil,250,http://www.hareruyamtg.com/jp/g/gDTK000130JN/,2016-05-18T12:15:08+09:00,
info,15 SideboardCards 6710 W0U0B0R0G0C2A0
info,http://www.hareruyamtg.com/jp/k/kD03070W/
