Caves of Koilos,4
Forsaken Sanctuary,2
Foundry of the Consuls,2
Plains,9
Shambling Vent,4
Swamp,2
Westvale Abbey,2
Archangel Avacyn,2
Eldrazi Displacer,4
Hedron Crawler,3
Knight of the White Orchid,4
Reality Smasher,3
Thought-Knot Seer,4
Wasteland Strangler,2
Secure the Wastes,2
Declaration in Stone,2
Read the Bones,2
Silkwrap,2
Stasis Snare,2
Gideon Ally of Zendikar,1
Sorin Grim Nemesis,2
Hangarback Walker,1
Kalitas Traitor of Ghet,2
Anguished Unmaking,2
Declaration in Stone,2
Languish,1
Transgress the Mind,3
Silkwrap,2
Virulent Plague,2
