land,Caves of Koilos,2,,,
land,Choked Estuary,3,,,
land,Island,5,,,
land,Port Town,2,,,
land,Prairie Stream,3,,,
land,Shambling Vent,3,,,
land,Sunken Hollow,4,,,
land,Swamp,5,,,
creature,Dragonlord Ojutai,4,,,
creature,Dragonlord Silumgar,2,,,
creature,JacePERIOD Vryn's Prodigy,2,,,
creature,KalitasPERIOD Traitor of Ghet,1,,,
spell,Clash of Wills,2,,,
spell,Foul-Tongue Invocation,2,,,
spell,Grasp of Darkness,3,,,
spell,Silumgar's Scorn,4,,,
spell,Ultimate Price,3,,,
spell,Dark Petition,1,,,
spell,Infinite Obliteration,1,,,
spell,Languish,3,,,
spell,Painful Truths,2,,,
spell,Read the Bones,1,,,
spell,Transgress the Mind,2,,,
sideboardCards,Sphinx of the Final Word,1,,,
sideboardCards,Dragonlord's Prerogative,1,,,
sideboardCards,Foul-Tongue Invocation,1,,,
sideboardCards,Hallowed Moonlight,1,,,
sideboardCards,Negate,2,,,
sideboardCards,Silumgar's Command,1,,,
sideboardCards,Duress,2,,,
sideboardCards,Infinite Obliteration,1,,,
sideboardCards,Languish,1,,,
sideboardCards,Pick the Brain,1,,,
sideboardCards,Virulent Plague,2,,,
sideboardCards,SorinPERIOD Grim Nemesis,1,,,
