info,BRG_Aggro_kD09041S 47020 W4U4B19R16G12C0A4
land,Cinder Glade,2,,R-G,500,2016-05-28T06:10:20+09:00,http://www.hareruyamtg.com/jp/g/gBFZ000235JN/,
land,Evolving Wilds,4,,A,20,2016-05-28T06:10:21+09:00,http://www.hareruyamtg.com/jp/g/gBFZ000236JN/,
land,Foreboding Ruins,3,,B-R,450,2016-05-28T06:10:23+09:00,http://www.hareruyamtg.com/jp/g/gSOI000272JN/,
land,Forest,2,,G,20,2016-05-28T06:10:23+09:00,http://www.hareruyamtg.com/jp/g/gSOI000297JN/,
land,Hissing Quagmire,4,,B-G,750,2016-05-28T06:10:25+09:00,http://www.hareruyamtg.com/jp/g/gOGW000171JN/,
land,Mountain,3,,R,20,2016-05-28T06:10:26+09:00,http://www.hareruyamtg.com/jp/g/gSOI000294JN/,
land,Smoldering Marsh,4,,B-R,600,2016-05-28T06:10:27+09:00,http://www.hareruyamtg.com/jp/g/gBFZ000247JN/,
land,Swamp,4,,B,20,2016-05-28T06:10:28+09:00,http://www.hareruyamtg.com/jp/g/gSOI000291JN/,
info,26 Lands 8010
creature,Goblin Dark-Dwellers,4,3RR,nil,500,2016-05-28T06:10:29+09:00,http://www.hareruyamtg.com/jp/g/gOGW000110JN/,
creature,KalitasPERIOD Traitor of Ghet,3,2BB,nil,3800,2016-05-28T06:10:31+09:00,http://www.hareruyamtg.com/jp/g/gOGW000086JN/,
creature,NissaPERIOD Vastwood Seer,1,2G,nil,2000,2016-05-28T06:10:32+09:00,http://www.hareruyamtg.com/jp/g/gORI000189JN/,
creature,Sylvan Advocate,4,1G,nil,1100,2016-05-28T06:10:34+09:00,http://www.hareruyamtg.com/jp/g/gOGW000144JN/,
creature,Tireless Tracker,2,2G,nil,1300,2016-05-28T06:10:35+09:00,http://www.hareruyamtg.com/jp/g/gSOI000233JN/,
info,14 Creatures 22400
spell,Fiery Impulse,3,R,nil,60,2016-05-28T06:10:37+09:00,http://www.hareruyamtg.com/jp/g/gORI000145JN/,
spell,Grasp of Darkness,3,BB,nil,150,2016-05-28T06:10:39+09:00,http://www.hareruyamtg.com/jp/g/gOGW000085JN/,
spell,Kolaghan's Command,2,1BR,nil,2200,2016-05-28T06:10:40+09:00,http://www.hareruyamtg.com/jp/g/gDTK000046JN/,
spell,Ultimate Price,1,1B,nil,80,2016-05-28T06:10:42+09:00,http://www.hareruyamtg.com/jp/g/gDTK000144JN/,
spell,Radiant Flames,1,2R,nil,200,2016-05-28T06:10:44+09:00,http://www.hareruyamtg.com/jp/g/gBFZ000151JN/,
spell,Read the Bones,3,2B,nil,50,2016-05-28T06:10:46+09:00,http://www.hareruyamtg.com/jp/g/gORI000114JN/,
spell,Ruinous Path,3,1BB,nil,400,2016-05-28T06:10:48+09:00,http://www.hareruyamtg.com/jp/g/gBFZ000123JN/,
spell,Transgress the Mind,2,1B,nil,300,2016-05-28T06:10:51+09:00,http://www.hareruyamtg.com/jp/g/gBFZ000101JN/,
spell,ChandraPERIOD Flamecaller,2,4RR,nil,3000,2016-05-28T06:10:52+09:00,http://www.hareruyamtg.com/jp/g/gOGW000104JN/,
info,20 Spells 13260
info,60 MainboardCards 43670 103 W0U0B26R18G7C0
sideboardCards,Dragonmaster Outcast,2,R,nil,250,2016-05-28T06:10:54+09:00,http://www.hareruyamtg.com/jp/g/gBFZ000144JN/,
sideboardCards,Clip Wings,2,1G,nil,50,2016-05-28T06:10:56+09:00,http://www.hareruyamtg.com/jp/g/gSOI000197JN/,
sideboardCards,Ultimate Price,1,1B,nil,80,2016-05-28T06:10:58+09:00,http://www.hareruyamtg.com/jp/g/gDTK000144JN/,
sideboardCards,Duress,2,B,nil,50,2016-05-28T06:10:59+09:00,http://www.hareruyamtg.com/jp/g/gDTK000173JN/,
sideboardCards,Infinite Obliteration,2,1BB,nil,450,2016-05-28T06:11:01+09:00,http://www.hareruyamtg.com/jp/g/gORI000103JN/,
sideboardCards,Radiant Flames,2,2R,nil,200,2016-05-28T06:11:02+09:00,http://www.hareruyamtg.com/jp/g/gBFZ000151JN/,
sideboardCards,Transgress the Mind,1,1B,nil,300,2016-05-28T06:11:04+09:00,http://www.hareruyamtg.com/jp/g/gBFZ000101JN/,
sideboardCards,Virulent Plague,2,2B,nil,60,2016-05-28T06:11:06+09:00,http://www.hareruyamtg.com/jp/g/gDTK000145JN/,
sideboardCards,Ob Nixilis Reignited,1,3BB,nil,850,2016-05-28T06:11:07+09:00,http://www.hareruyamtg.com/jp/g/gBFZ000119JN/,
info,15 SideboardCards 3350 35 W0U0B12R4G2C0
info,http://www.hareruyamtg.com//jp/k/kD09041S/
