info,RG_Goggles_kD09230S 41990 W0U0B0R12G15C4A0
land,Cinder Glade,3,,R-G,500,2016-05-28T03:29:29+09:00,http://www.hareruyamtg.com/jp/g/gBFZ000235JN/,
land,Drownyard Temple,4,,C,250,2016-05-28T03:29:31+09:00,http://www.hareruyamtg.com/jp/g/gSOI000271JN/,
land,Forest,8,,G,20,2016-05-28T03:29:32+09:00,http://www.hareruyamtg.com/jp/g/gSOI000297JN/,
land,Game Trail,4,,R-G,350,2016-05-28T03:29:34+09:00,http://www.hareruyamtg.com/jp/g/gSOI000276JN/,
land,Mountain,5,,R,20,2016-05-28T03:29:34+09:00,http://www.hareruyamtg.com/jp/g/gSOI000294JN/,
info,24 Lands 4160
creature,Dragonlord Atarka,1,5RG,nil,1600,2016-05-28T03:29:36+09:00,http://www.hareruyamtg.com/jp/g/gDTK000005JN/,
creature,World Breaker,3,6G,nil,1300,2016-05-28T03:29:37+09:00,http://www.hareruyamtg.com/jp/g/gOGW000126JN/,
info,4 Creatures 5500
spell,Fall of the Titans,3,‚w‚wR,nil,100,2016-05-28T03:29:39+09:00,http://www.hareruyamtg.com/jp/g/gOGW000109JN/,
spell,Fiery Impulse,4,R,nil,60,2016-05-28T03:29:42+09:00,http://www.hareruyamtg.com/jp/g/gORI000145JN/,
spell,Kozilek's Return,4,2R,nil,1300,2016-05-28T03:29:44+09:00,http://www.hareruyamtg.com/jp/g/gOGW000098JN/,
spell,Magmatic Insight,3,R,nil,180,2016-05-28T03:29:45+09:00,http://www.hareruyamtg.com/jp/g/gORI000155JN/,
spell,Nissa's Pilgrimage,4,2G,nil,60,2016-05-28T03:29:47+09:00,http://www.hareruyamtg.com/jp/g/gORI000190JN/,
spell,Tormenting Voice,4,1R,nil,20,2016-05-28T03:29:48+09:00,http://www.hareruyamtg.com/jp/g/gSOI000186JN/,
spell,Traverse the Ulvenwald,3,G,nil,450,2016-05-28T03:29:50+09:00,http://www.hareruyamtg.com/jp/g/gSOI000234JN/,
spell,Hedron Archive,2,4,CC,50,2016-05-28T03:29:52+09:00,http://www.hareruyamtg.com/jp/g/gBFZ000223JN/,
spell,Pyromancer's Goggles,3,5,nil,650,2016-05-28T03:29:53+09:00,http://www.hareruyamtg.com/jp/g/gORI000236JN/,
spell,ChandraPERIOD Flamecaller,2,4RR,nil,3000,2016-05-28T03:29:54+09:00,http://www.hareruyamtg.com/jp/g/gOGW000104JN/,
info,32 Spells 16000
info,60 MainboardCards 25660 108 W0U0B0R23G11C0
sideboardCards,Dragonlord Atarka,1,5RG,nil,1600,2016-05-28T03:29:56+09:00,http://www.hareruyamtg.com/jp/g/gDTK000005JN/,
sideboardCards,UlamogPERIOD the Ceaseless Hunger,4,10,nil,1700,2016-05-28T03:29:57+09:00,http://www.hareruyamtg.com/jp/g/gBFZ000015JN/,
sideboardCards,World Breaker,1,6G,nil,1300,2016-05-28T03:29:59+09:00,http://www.hareruyamtg.com/jp/g/gOGW000126JN/,
sideboardCards,Rending Volley,2,R,nil,100,2016-05-28T03:30:00+09:00,http://www.hareruyamtg.com/jp/g/gDTK000115JN/,
sideboardCards,Act of Treason,1,2R,nil,20,2016-05-28T03:30:02+09:00,http://www.hareruyamtg.com/jp/g/gORI000129JN/,
sideboardCards,Burn from Within,1,‚wR,nil,60,2016-05-28T03:30:03+09:00,http://www.hareruyamtg.com/jp/g/gSOI000148JN/,
sideboardCards,Nissa's Renewal,2,5G,nil,150,2016-05-28T03:30:06+09:00,http://www.hareruyamtg.com/jp/g/gBFZ000180JN/,
sideboardCards,Zendikar Resurgent,1,5GG5GG,nil,50,2016-05-28T03:30:08+09:00,http://www.hareruyamtg.com/jp/g/gOGW000147JN/,
sideboardCards,ChandraPERIOD Flamecaller,2,4RR,nil,3000,2016-05-28T03:30:10+09:00,http://www.hareruyamtg.com/jp/g/gOGW000104JN/,
info,15 SideboardCards 16330 143 W0U0B0R9G8C0
info,http://www.hareruyamtg.com//jp/k/kD09230S/
