info,RG_Ramp_kD01462K 39740 W4U4B4R6G15C1A4
land,Evolving Wilds,4,,A,20,2016-05-27T18:33:29+09:00,http://www.hareruyamtg.com/jp/g/gBFZ000236JN/,
land,Forest,11,,G,20,2016-05-27T18:33:31+09:00,http://www.hareruyamtg.com/jp/g/gSOI000297JN/,
land,Mountain,2,,R,20,2016-05-27T18:33:31+09:00,http://www.hareruyamtg.com/jp/g/gSOI000294JN/,
land,Shrine of the Forsaken Gods,4,,nil,180,2016-05-27T18:33:33+09:00,http://www.hareruyamtg.com/jp/g/gBFZ000245JN/,
land,Wastes,1,,C,30,2016-05-27T18:33:35+09:00,http://www.hareruyamtg.com/jp/g/gOGW000185JN/,
info,22 Lands 1090
creature,Dragonlord Atarka,4,5RG,nil,1600,2016-05-27T18:33:37+09:00,http://www.hareruyamtg.com/jp/g/gDTK000005JN/,
creature,Tireless Tracker,1,2G,nil,1300,2016-05-27T18:33:38+09:00,http://www.hareruyamtg.com/jp/g/gSOI000233JN/,
creature,UlamogPERIOD the Ceaseless Hunger,2,10,nil,1700,2016-05-27T18:33:40+09:00,http://www.hareruyamtg.com/jp/g/gBFZ000015JN/,
creature,World Breaker,2,6G,nil,1300,2016-05-27T18:33:42+09:00,http://www.hareruyamtg.com/jp/g/gOGW000126JN/,
info,9 Creatures 13700
spell,Kozilek's Return,2,2R,nil,1300,2016-05-27T18:33:43+09:00,http://www.hareruyamtg.com/jp/g/gOGW000098JN/,
spell,Explosive Vegetation,4,3G,nil,150,2016-05-27T18:33:45+09:00,http://www.hareruyamtg.com/jp/g/gDTK000094JN/,
spell,Nissa's Pilgrimage,4,2G,nil,60,2016-05-27T18:33:48+09:00,http://www.hareruyamtg.com/jp/g/gORI000190JN/,
spell,Ruin in Their Wake,4,1G,nil,30,2016-05-27T18:33:50+09:00,http://www.hareruyamtg.com/jp/g/gOGW000122JN/,
spell,Traverse the Ulvenwald,4,G,nil,450,2016-05-27T18:33:52+09:00,http://www.hareruyamtg.com/jp/g/gSOI000234JN/,
spell,Oath of Nissa,4,G,nil,500,2016-05-27T18:33:54+09:00,http://www.hareruyamtg.com/jp/g/gOGW000140JN/,
spell,Hedron Archive,3,4,CC,50,2016-05-27T18:33:56+09:00,http://www.hareruyamtg.com/jp/g/gBFZ000223JN/,
spell,ChandraPERIOD Flamecaller,4,4RR,nil,3000,2016-05-27T18:33:58+09:00,http://www.hareruyamtg.com/jp/g/gOGW000104JN/,
info,29 Spells 19510
info,60 MainboardCards 34300 151 W0U0B0R14G27C0
sideboardCards,Den Protector,2,1G,nil,800,2016-05-27T18:33:59+09:00,http://www.hareruyamtg.com/jp/g/gDTK000032JN/,
sideboardCards,Oblivion Sower,1,6,nil,350,2016-05-27T18:34:01+09:00,http://www.hareruyamtg.com/jp/g/gBFZ000011JN/,
sideboardCards,World Breaker,1,6G,nil,1300,2016-05-27T18:34:03+09:00,http://www.hareruyamtg.com/jp/g/gOGW000126JN/,
sideboardCards,Clip Wings,2,1G,nil,50,2016-05-27T18:34:05+09:00,http://www.hareruyamtg.com/jp/g/gSOI000197JN/,
sideboardCards,Kozilek's Return,1,2R,nil,1300,2016-05-27T18:34:06+09:00,http://www.hareruyamtg.com/jp/g/gOGW000098JN/,
sideboardCards,Warping Wail,3,1C,nil,150,2016-05-27T18:34:08+09:00,http://www.hareruyamtg.com/jp/g/gOGW000012JN/,
sideboardCards,Crumble to Dust,3,3R,nil,60,2016-05-27T18:34:10+09:00,http://www.hareruyamtg.com/jp/g/gBFZ000128JN/,
sideboardCards,Roast,2,1R,nil,80,2016-05-27T18:34:22+09:00,http://www.hareruyamtg.com/jp/g/gDTK000116JN/,
info,15 SideboardCards 5440 46 W0U0B0R6G5C3
info,http://www.hareruyamtg.com//jp/k/kD01462K/
