info,UR_AggrokD01416K 19050 W0U15B0R16G0C6A0
land,Haven of the Spirit Dragon,2,,C,250,2016-05-20T09:32:29+09:00,http://www.hareruyamtg.com/jp/g/gDTK000040JN/,
land,Island,7,,U,20,2016-05-20T09:32:30+09:00,http://www.hareruyamtg.com/jp/g/gSOI000288JN/,
land,Mountain,8,,R,20,2016-05-20T09:32:30+09:00,http://www.hareruyamtg.com/jp/g/gSOI000294JN/,
land,Shivan Reef,4,,C-U-R,450,2016-05-20T09:32:32+09:00,http://www.hareruyamtg.com/jp/g/gORI000251JN/,
land,Wandering Fumarole,4,,U-R,400,2016-05-20T09:32:33+09:00,http://www.hareruyamtg.com/jp/g/gOGW000182JN/,
info,25 Lands 4200
creature,Dimensional Infiltrator,4,1U,nil,250,2016-05-20T09:32:34+09:00,http://www.hareruyamtg.com/jp/g/gOGW000044JN/,
creature,Goblin Dark-Dwellers,2,3RR,nil,550,2016-05-20T09:32:36+09:00,http://www.hareruyamtg.com/jp/g/gOGW000110JN/,
creature,Icefall Regent,3,3UU,nil,150,2016-05-20T09:32:38+09:00,http://www.hareruyamtg.com/jp/g/gDTK000043JN/,
creature,Rattlechains,4,1U,nil,150,2016-05-20T09:32:39+09:00,http://www.hareruyamtg.com/jp/g/gSOI000081JN/,
creature,Sin Prodder,4,2R,nil,500,2016-05-20T09:32:41+09:00,http://www.hareruyamtg.com/jp/g/gSOI000181JN/,
creature,Stratus Dancer,2,1U,nil,180,2016-05-20T09:32:43+09:00,http://www.hareruyamtg.com/jp/g/gDTK000062JN/,
creature,Thunderbreak Regent,4,2RR,nil,550,2016-05-20T09:32:45+09:00,http://www.hareruyamtg.com/jp/g/gDTK000066JN/,
info,23 Creatures 7710
spell,Draconic Roar,4,1R,nil,80,2016-05-20T09:32:46+09:00,http://www.hareruyamtg.com/jp/g/gDTK000084JN/,
spell,Silumgar's Scorn,3,UU,nil,80,2016-05-20T09:32:48+09:00,http://www.hareruyamtg.com/jp/g/gDTK000134JN/,
spell,Exquisite Firecraft,4,1RR,nil,400,2016-05-20T09:32:49+09:00,http://www.hareruyamtg.com/jp/g/gORI000143JN/,
spell,ChandraPERIOD Flamecaller,1,4RR,nil,3600,2016-05-20T09:32:51+09:00,http://www.hareruyamtg.com/jp/g/gOGW000104JN/,
info,12 Spells 5760
info,60 MainboardCards 17670 105 W0U22B0R30G0C0
sideboardCards,Dispel,3,U,nil,40,2016-05-20T09:32:54+09:00,http://www.hareruyamtg.com/jp/g/gBFZ000076JN/,
sideboardCards,Fiery Impulse,2,R,nil,60,2016-05-20T09:32:56+09:00,http://www.hareruyamtg.com/jp/g/gORI000145JN/,
sideboardCards,Rending Volley,3,R,nil,100,2016-05-20T09:32:57+09:00,http://www.hareruyamtg.com/jp/g/gDTK000115JN/,
sideboardCards,Roast,3,1R,nil,80,2016-05-20T09:33:10+09:00,http://www.hareruyamtg.com/jp/g/gDTK000116JN/,
sideboardCards,Fevered Visions,4,1UR,nil,150,2016-05-20T09:33:34+09:00,http://www.hareruyamtg.com/jp/g/gSOI000244JN/,
info,15 SideboardCards 1380 26 W0U7B0R12G0C0
info,http://www.hareruyamtg.com//jp/k/kD01416K/
