info,WBG_Aggro_kD09754S 33070 W9U7B20R7G22C16A7
land,Caves of Koilos,2,,C-W-B,300,2016-05-27T20:47:12+09:00,http://www.hareruyamtg.com/jp/g/gORI000245JN/,
land,Forest,7,,G,20,2016-05-27T20:47:13+09:00,http://www.hareruyamtg.com/jp/g/gSOI000297JN/,
land,Hissing Quagmire,4,,B-G,750,2016-05-27T20:47:15+09:00,http://www.hareruyamtg.com/jp/g/gOGW000171JN/,
land,Llanowar Wastes,4,,C-B-G,400,2016-05-27T20:47:16+09:00,http://www.hareruyamtg.com/jp/g/gORI000248JN/,
land,Swamp,3,,B,20,2016-05-27T20:47:17+09:00,http://www.hareruyamtg.com/jp/g/gSOI000291JN/,
land,Westvale Abbey,3,,C,1600,2016-05-27T20:47:19+09:00,http://www.hareruyamtg.com/jp/g/gSOI000281JN/,
info,23 Lands 10200
creature,Blisterpod,3,G,nil,30,2016-05-27T20:47:21+09:00,http://www.hareruyamtg.com/jp/g/gBFZ000163JN/,
creature,Catacomb Sifter,4,1BG,nil,40,2016-05-27T20:47:22+09:00,http://www.hareruyamtg.com/jp/g/gBFZ000201JN/,
creature,Duskwatch Recruiter,3,1G,nil,250,2016-05-27T20:47:25+09:00,http://www.hareruyamtg.com/jp/g/gSOI000203JN/,
creature,Eldrazi Displacer,3,2W,nil,900,2016-05-27T20:47:26+09:00,http://www.hareruyamtg.com/jp/g/gOGW000013JN/,
creature,Elvish Visionary,4,1G,nil,50,2016-05-27T20:47:28+09:00,http://www.hareruyamtg.com/jp/g/gORI000175JN/,
creature,LilianaPERIOD Heretical Healer,1,1BB,nil,2100,2016-05-27T20:47:31+09:00,http://www.hareruyamtg.com/jp/g/gORI000106JN/,
creature,Loam Dryad,4,G,C-A,50,2016-05-27T20:47:33+09:00,http://www.hareruyamtg.com/jp/g/gSOI000216JN/,
creature,Nantuko Husk,4,2B,nil,20,2016-05-27T20:47:35+09:00,http://www.hareruyamtg.com/jp/g/gORI000109JN/,
creature,Zulaport Cutthroat,4,1B,nil,90,2016-05-27T20:47:39+09:00,http://www.hareruyamtg.com/jp/g/gBFZ000126JN/,
info,30 Creatures 6640
spell,Collected Company,4,3G,nil,2900,2016-05-27T20:47:41+09:00,http://www.hareruyamtg.com/jp/g/gDTK000026JN/,
spell,Cryptolith Rite,3,1G,C-A,700,2016-05-27T20:47:43+09:00,http://www.hareruyamtg.com/jp/g/gSOI000200JN/,
info,7 Spells 13700
info,60 MainboardCards 30540 87 W3U0B14R0G25C0
sideboardCards,Fleshbag Marauder,3,2B,nil,30,2016-05-27T20:47:45+09:00,http://www.hareruyamtg.com/jp/g/gORI000098JN/,
sideboardCards,Anguished Unmaking,2,1WB,nil,500,2016-05-27T20:47:47+09:00,http://www.hareruyamtg.com/jp/g/gSOI000242JN/,
sideboardCards,Ultimate Price,3,1B,nil,80,2016-05-27T20:47:48+09:00,http://www.hareruyamtg.com/jp/g/gDTK000144JN/,
sideboardCards,Duress,2,B,nil,50,2016-05-27T20:47:50+09:00,http://www.hareruyamtg.com/jp/g/gDTK000173JN/,
sideboardCards,Transgress the Mind,3,1B,nil,300,2016-05-27T20:47:51+09:00,http://www.hareruyamtg.com/jp/g/gBFZ000101JN/,
sideboardCards,Tainted Remedy,2,2B,nil,100,2016-05-27T20:47:53+09:00,http://www.hareruyamtg.com/jp/g/gORI000120JN/,
info,15 SideboardCards 2530 35 W2U0B15R0G0C0
info,http://www.hareruyamtg.com//jp/k/kD09754S/
