info,WR_Control_kD03108W 45170 W11U0B0R26G0C16A0
land,Battlefield Forge,4,,C-R-W,250,2016-05-27T19:38:31+09:00,http://www.hareruyamtg.com/jp/g/gORI000244JN/,
land,Drownyard Temple,4,,C,250,2016-05-27T19:38:33+09:00,http://www.hareruyamtg.com/jp/g/gSOI000271JN/,
land,Mage-Ring Network,4,,C-R-R-C,50,2016-05-27T19:38:35+09:00,http://www.hareruyamtg.com/jp/g/gORI000249JN/,
land,Mountain,7,,R,20,2016-05-27T19:38:36+09:00,http://www.hareruyamtg.com/jp/g/gSOI000294JN/,
land,Needle Spires,4,,R-W,200,2016-05-27T19:38:38+09:00,http://www.hareruyamtg.com/jp/g/gOGW000175JN/,
land,Stone Quarry,3,,R-W,50,2016-05-27T19:38:40+09:00,http://www.hareruyamtg.com/jp/g/gSOI000279JN/,
info,26 Lands 3290
creature,Fall of the Titans,3,‚w‚wR,nil,100,2016-05-27T19:38:42+09:00,http://www.hareruyamtg.com/jp/g/gOGW000109JN/,
creature,Fiery Impulse,4,R,nil,60,2016-05-27T19:38:45+09:00,http://www.hareruyamtg.com/jp/g/gORI000145JN/,
creature,Fiery Temper,3,1RR,nil,80,2016-05-27T19:38:46+09:00,http://www.hareruyamtg.com/jp/g/gSOI000156JN/,
creature,Hallowed Moonlight,2,1W,nil,350,2016-05-27T19:38:48+09:00,http://www.hareruyamtg.com/jp/g/gORI000017JN/,
creature,Lightning Axe,3,R,nil,150,2016-05-27T19:38:50+09:00,http://www.hareruyamtg.com/jp/g/gSOI000170JN/,
creature,Exquisite Firecraft,3,1RR,nil,350,2016-05-27T19:38:52+09:00,http://www.hareruyamtg.com/jp/g/gORI000143JN/,
creature,Magmatic Insight,2,R,nil,180,2016-05-27T19:38:54+09:00,http://www.hareruyamtg.com/jp/g/gORI000155JN/,
creature,Tormenting Voice,4,1R,nil,20,2016-05-27T19:38:56+09:00,http://www.hareruyamtg.com/jp/g/gSOI000186JN/,
creature,Pyromancer's Goggles,4,5,nil,650,2016-05-27T19:38:58+09:00,http://www.hareruyamtg.com/jp/g/gORI000236JN/,
creature,ChandraPERIOD Flamecaller,3,4RR,nil,3000,2016-05-27T19:39:00+09:00,http://www.hareruyamtg.com/jp/g/gOGW000104JN/,
creature,NahiriPERIOD the Harbinger,3,2RW,nil,4500,2016-05-27T19:39:02+09:00,http://www.hareruyamtg.com/jp/g/gSOI000246JN/,
sideboardCards,Eldrazi Obligator,3,2R,nil,100,2016-05-27T19:39:04+09:00,http://www.hareruyamtg.com/jp/g/gOGW000096JN/,
sideboardCards,LinvalaPERIOD the Preserver,1,4WW,nil,400,2016-05-27T19:39:06+09:00,http://www.hareruyamtg.com/jp/g/gOGW000025JN/,
sideboardCards,Reality Smasher,4,4C,nil,1100,2016-05-27T19:39:08+09:00,http://www.hareruyamtg.com/jp/g/gOGW000007JN/,
sideboardCards,Thought-Knot Seer,4,3C,nil,1400,2016-05-27T19:39:08+09:00,http://www.hareruyamtg.com/jp/g/gOGW000009JN/,
sideboardCards,Commune with Lava,1,‚wRR,nil,60,2016-05-27T19:39:10+09:00,http://www.hareruyamtg.com/jp/g/gDTK000027JN/,
sideboardCards,Kozilek's Return,2,2R,nil,1300,2016-05-27T19:39:11+09:00,http://www.hareruyamtg.com/jp/g/gOGW000098JN/,
info,15 SideboardCards 13360 59 W2U0B0R7G0C8
info,http://www.hareruyamtg.com//jp/k/kD03108W/
