info,WUR_Aggro_kD02924W 54240 W13U14B4R21G4C6A4
land,Battlefield Forge,3,,C-R-W,250,2016-05-28T03:32:53+09:00,http://www.hareruyamtg.com/jp/g/gORI000244JN/,
land,Evolving Wilds,4,,A,20,2016-05-28T03:32:55+09:00,http://www.hareruyamtg.com/jp/g/gBFZ000236JN/,
land,Island,2,,U,20,2016-05-28T03:32:56+09:00,http://www.hareruyamtg.com/jp/g/gSOI000288JN/,
land,Mountain,4,,R,20,2016-05-28T03:32:56+09:00,http://www.hareruyamtg.com/jp/g/gSOI000294JN/,
land,Needle Spires,3,,R-W,200,2016-05-28T03:32:58+09:00,http://www.hareruyamtg.com/jp/g/gOGW000175JN/,
land,Plains,2,,W,20,2016-05-28T03:32:59+09:00,http://www.hareruyamtg.com/jp/g/gSOI000285JN/,
land,Prairie Stream,1,,W-U,600,2016-05-28T03:33:00+09:00,http://www.hareruyamtg.com/jp/g/gBFZ000241JN/,
land,Shivan Reef,3,,C-U-R,400,2016-05-28T03:33:14+09:00,http://www.hareruyamtg.com/jp/g/gORI000251JN/,
land,Wandering Fumarole,4,,U-R,400,2016-05-28T03:33:16+09:00,http://www.hareruyamtg.com/jp/g/gOGW000182JN/,
info,26 Lands 4990
creature,Dragonlord Ojutai,3,3WU,nil,2400,2016-05-28T03:33:17+09:00,http://www.hareruyamtg.com/jp/g/gDTK000008JN/,
creature,Eldrazi Skyspawner,4,2U,nil,50,2016-05-28T03:33:18+09:00,http://www.hareruyamtg.com/jp/g/gBFZ000058JN/,
creature,Goblin Dark-Dwellers,1,3RR,nil,500,2016-05-28T03:33:20+09:00,http://www.hareruyamtg.com/jp/g/gOGW000110JN/,
creature,JacePERIOD Vryn's Prodigy,2,1U,nil,8200,2016-05-28T03:33:21+09:00,http://www.hareruyamtg.com/jp/g/gORI000060JN/,
creature,Stratus Dancer,4,1U,nil,180,2016-05-28T03:33:23+09:00,http://www.hareruyamtg.com/jp/g/gDTK000062JN/,
creature,Thunderbreak Regent,4,2RR,nil,550,2016-05-28T03:33:24+09:00,http://www.hareruyamtg.com/jp/g/gDTK000066JN/,
info,18 Creatures 27220
spell,Draconic Roar,4,1R,nil,80,2016-05-28T03:33:26+09:00,http://www.hareruyamtg.com/jp/g/gDTK000084JN/,
spell,Fiery Impulse,2,R,nil,60,2016-05-28T03:33:28+09:00,http://www.hareruyamtg.com/jp/g/gORI000145JN/,
spell,Secure the Wastes,3,‚wW,nil,950,2016-05-28T03:33:29+09:00,http://www.hareruyamtg.com/jp/g/gDTK000058JN/,
spell,Declaration in Stone,3,1W,nil,1100,2016-05-28T03:33:31+09:00,http://www.hareruyamtg.com/jp/g/gSOI000012JN/,
spell,ChandraPERIOD Flamecaller,2,4RR,nil,3000,2016-05-28T03:33:32+09:00,http://www.hareruyamtg.com/jp/g/gOGW000104JN/,
spell,GideonPERIOD Ally of Zendikar,2,2WW,nil,3300,2016-05-28T03:33:34+09:00,http://www.hareruyamtg.com/jp/g/gBFZ000029JN/,
info,16 Spells 19190
info,60 MainboardCards 51400 99 W13U13B0R20G0C0
sideboardCards,Negate,2,1U,nil,30,2016-05-28T03:33:37+09:00,http://www.hareruyamtg.com/jp/g/gOGW000059JN/,
sideboardCards,Exquisite Firecraft,3,1RR,nil,350,2016-05-28T03:33:38+09:00,http://www.hareruyamtg.com/jp/g/gORI000143JN/,
sideboardCards,Radiant Flames,3,2R,nil,200,2016-05-28T03:33:40+09:00,http://www.hareruyamtg.com/jp/g/gBFZ000151JN/,
sideboardCards,Fevered Visions,4,1UR,nil,120,2016-05-28T03:33:42+09:00,http://www.hareruyamtg.com/jp/g/gSOI000244JN/,
sideboardCards,Quarantine Field,2,‚w‚wWW,nil,250,2016-05-28T03:33:44+09:00,http://www.hareruyamtg.com/jp/g/gBFZ000043JN/,
sideboardCards,Stasis Snare,1,1WW,nil,150,2016-05-28T03:33:46+09:00,http://www.hareruyamtg.com/jp/g/gBFZ000050JN/,
info,15 SideboardCards 2840 41 W6U6B0R13G0C0
info,http://www.hareruyamtg.com//jp/k/kD02924W/
