Card Name,Quantity,,,,,,,
Battlefield Forge,3,,,,,,,
Foundry of the Consuls,4,,,,,,,
Mountain,10,,,,,,,
Ruins of Oran-Rief,4,,,,,,,
Shivan Reef,3,,,,,,,
Westvale Abbey,2,,,,,,,
Hangarback Walker,4,,,,,,,
Hedron Crawler,4,,,,,,,
Pia and Kiran Nalaar,2,,,,,,,
Reality Smasher,4,,,,,,,
Thopter Engineer,4,,,,,,,
Thought-Knot Seer,4,,,,,,,
Vile Aggregate,4,,,,,,,
Outnumber,3,,,,,,,
Spatial Contortion,2,,,,,,,
"Chandra, Flamecaller",3,,,,,,,
,,,,,,,,
Eldrazi Obligator,4,,,,,,,
Thunderbreak Regent,4,,,,,,,
Rending Volley,4,,,,,,,
Roast,3,,,,,,,
