turn[0]
lib\hand,1,2,3,4,5,6,7,8,
turn[1]
lib\hand,1,2,3,4,5,6,7,8,
17,22.009,30.455,24.081,11.9,3.764,0.744,0.084,0.004,
18,19.765,29.648,25.412,13.614,4.668,1.0,0.122,0.007,
19,17.625,28.586,26.495,15.348,5.69,1.318,0.175,0.01,
20,15.607,27.313,27.313,17.071,6.828,1.707,0.244,0.015,
21,13.726,25.869,27.859,18.751,8.077,2.175,0.335,0.023,
22,11.989,24.294,28.13,20.357,9.428,2.729,0.451,0.033,
23,10.4,22.626,28.13,21.858,10.87,3.378,0.6,0.047,
24,8.958,20.902,27.869,23.224,12.386,4.129,0.786,0.066,
25,7.661,19.153,27.361,24.43,13.96,4.986,1.017,0.091,
26,6.504,17.409,26.625,25.451,15.57,5.953,1.301,0.124,
27,5.481,15.695,25.683,26.266,17.192,7.033,1.644,0.168,
28,4.582,14.033,24.559,26.861,18.803,8.226,2.057,0.225,
29,3.8,12.443,23.28,27.222,20.373,9.529,2.547,0.298,
30,3.125,10.938,21.875,27.344,21.875,10.938,3.125,0.391,
17,22.009,30.455,24.081,11.9,3.764,0.744,0.084,0.004,
18,19.765,29.648,25.412,13.614,4.668,1.0,0.122,0.007,
19,17.625,28.586,26.495,15.348,5.69,1.318,0.175,0.01,
20,15.607,27.313,27.313,17.071,6.828,1.707,0.244,0.015,
21,13.726,25.869,27.859,18.751,8.077,2.175,0.335,0.023,
22,11.989,24.294,28.13,20.357,9.428,2.729,0.451,0.033,
23,10.4,22.626,28.13,21.858,10.87,3.378,0.6,0.047,
24,8.958,20.902,27.869,23.224,12.386,4.129,0.786,0.066,
25,7.661,19.153,27.361,24.43,13.96,4.986,1.017,0.091,
26,6.504,17.409,26.625,25.451,15.57,5.953,1.301,0.124,
27,5.481,15.695,25.683,26.266,17.192,7.033,1.644,0.168,
28,4.582,14.033,24.559,26.861,18.803,8.226,2.057,0.225,
29,3.8,12.443,23.28,27.222,20.373,9.529,2.547,0.298,
30,3.125,10.938,21.875,27.344,21.875,10.938,3.125,0.391,
