Card Name,Quantity,ID #,Rarity,Set,Collector #,Premium,
"Display of Dominance",1,56220,Uncommon,DTK,182/264,No
"Conifer Strider",1,55900,Common,DTK,179/264,No
"Sprinting Warbrute",1,56336,Common,DTK,157/264,No
"Press the Advantage",1,56258,Uncommon,DTK,196/264,No
"Necromaster Dragon",1,56334,Rare,DTK,226/264,No
"Kolaghan Forerunners",1,56210,Uncommon,DTK,144/264,No
"Inspiring Call",1,55972,Uncommon,DTK,191/264,No
"Salt Road Ambushers",1,56300,Uncommon,DTK,198/264,No
"Sarkhan Unbroken",1,56192,Mythic Rare,DTK,230/264,No
"Scaleguard Sentinels",1,56068,Uncommon,DTK,201/264,No
"Tail Slash",1,56274,Common,DTK,161/264,No
"Tormenting Voice",1,55918,Common,DTK,163/264,No
"Atarka Beastbreaker",1,56302,Common,DTK,174/264,No
"Warbringer",1,56262,Uncommon,DTK,168/264,No
"Boltwing Marauder",1,56244,Rare,DTK,214/264,No
"Shaman of Forgotten Ways",1,56360,Mythic Rare,DTK,204/264,No
"Ruthless Deathfang",1,56370,Uncommon,DTK,229/264,No
"Savage Ventmaw",1,56424,Uncommon,DTK,231/264,No
"Lurking Arynx",1,56292,Uncommon,DTK,192/264,No
"Salt Road Quartermasters",1,55950,Uncommon,DTK,199/264,No
"Herdchaser Dragon",1,56166,Uncommon,DTK,190/264,No
"Colossodon Yearling",1,56216,Common,DTK,178/264,No
"Narset Transcendent",1,56076,Mythic Rare,DTK,225/264,No
"Circle of Elders",1,56396,Uncommon,DTK,176/264,No
"Deathmist Raptor",1,56426,Mythic Rare,DTK,180/264,No
"Volcanic Rush",1,56240,Common,DTK,166/264,No
"Crater Elemental",1,56190,Rare,DTK,132/264,No
"Pinion Feast",1,56120,Common,DTK,195/264,No
"Enduring Scalelord",1,56322,Uncommon,DTK,222/264,No
"Dragon Tempest",1,56202,Rare,DTK,136/264,No
"Dragon Whisperer",1,56122,Mythic Rare,DTK,137/264,No
"Silumgar Assassin",1,55966,Rare,DTK,121/264,No
"Screamreach Brawler",1,56330,Common,DTK,155/264,No
"Ukud Cobra",1,56310,Uncommon,DTK,123/264,No
"Ainok Artillerist",1,56288,Common,DTK,171/264,No
"Stampeding Elk Herd",1,56136,Common,DTK,208/264,No
"Guardian Shield-Bearer",1,56058,Common,DTK,189/264,No
"Sabertooth Outrider",1,56164,Common,DTK,152/264,No
"Qal Sisma Behemoth",1,55994,Uncommon,DTK,149/264,No
"Magmatic Chasm",1,56412,Common,DTK,148/264,No
"Stormcrag Elemental",1,56176,Uncommon,DTK,158/264,No
"Lose Calm",1,56206,Common,DTK,147/264,No
"Revealing Wind",1,56286,Common,DTK,197/264,No
"Avatar of the Resolute",1,56386,Rare,DTK,175/264,No
"Sunbringer's Touch",1,56218,Rare,DTK,209/264,No
"Vandalize",1,55912,Common,DTK,165/264,No
"Dragonlord's Servant",1,55906,Uncommon,DTK,138/264,No
"Vulturous Aven",1,56352,Common,DTK,126/264,No
"Dromoka's Gift",1,56006,Uncommon,DTK,184/264,No
"Sheltered Aerie",1,56114,Common,DTK,206/264,No
"Dragonlord Kolaghan",1,56128,Mythic Rare,DTK,218/264,No
"Sandsteppe Scavenger",1,56074,Common,DTK,200/264,No
"Stormwing Dragon",1,56094,Uncommon,DTK,159/264,No
"Servant of the Scale",1,56010,Common,DTK,203/264,No
"Summit Prowler",1,56422,Common,DTK,160/264,No
"Pristine Skywise",1,56282,Rare,DTK,228/264,No
"Hardened Berserker",1,56252,Common,DTK,139/264,No
"Kolaghan Aspirant",1,56158,Common,DTK,143/264,No
"Cunning Breezedancer",1,56234,Uncommon,DTK,215/264,No
"Aerie Bowmasters",1,56100,Common,DTK,170/264,No
"Assault Formation",1,56044,Rare,DTK,173/264,No
"Segmented Krotiq",1,56140,Common,DTK,202/264,No
"Mirror Mockery",1,56364,Rare,DTK,62/264,No
"Negate",1,55940,Common,DTK,65/264,No
"Atarka Pummeler",1,56084,Uncommon,DTK,129/264,No
"Marsh Hulk",1,56052,Common,DTK,109/264,No
"Rakshasa Gravecaller",1,56070,Uncommon,DTK,114/264,No
"Mind Rot",1,56278,Common,DTK,110/264,No
"Sidisi, Undead Vizier",1,56038,Rare,DTK,120/264,No
