Card Name,Quantity,ID #,Rarity,Set,Collector #,Premium,
"Jeskai Infiltrator",1,55406,Rare,FRF,36/185,No
"Marang River Prowler",1,55328,Uncommon,FRF,40/185,No
"Fascination",1,55514,Uncommon,FRF,34/185,No
"Channel Harm",1,55558,Uncommon,FRF,7/185,No
"Mastery of the Unseen",1,55678,Rare,FRF,19/185,No
"Douse in Gloom",1,55636,Common,FRF,68/185,No
"Jeskai Sage",1,55374,Common,FRF,38/185,No
"Elite Scaleguard",1,55560,Uncommon,FRF,12/185,No
"Mardu Woe-Reaper",1,55568,Uncommon,FRF,18/185,No
"Lotus-Eye Mystics",1,55540,Uncommon,FRF,17/185,No
"Mindscour Dragon",1,55380,Uncommon,FRF,41/185,No
"Shifting Loyalties",1,55518,Uncommon,FRF,51/185,No
"Cloudform",1,55358,Uncommon,FRF,32/185,No
"Rite of Undoing",1,55448,Uncommon,FRF,49/185,No
"Abzan Runemark",1,55462,Common,FRF,3/185,No
"Abzan Skycaptain",1,55352,Common,FRF,4/185,No
"Abzan Advantage",1,55584,Common,FRF,2/185,No
"Aven Skirmisher",1,55392,Common,FRF,6/185,No
"Rally the Ancestors",1,55618,Rare,FRF,22/185,No
"Citadel Siege",1,55458,Rare,FRF,8/185,No
"Neutralizing Blast",1,55682,Uncommon,FRF,44/185,No
"Monastery Siege",1,55446,Rare,FRF,43/185,No
"Pressure Point",1,55494,Common,FRF,21/185,No
"Rakshasa's Disdain",1,55334,Common,FRF,45/185,No
"Jeskai Runemark",1,55452,Common,FRF,37/185,No
"Torrent Elemental",1,55628,Mythic Rare,FRF,56/185,No
"Archfiend of Depravity",1,55616,Rare,FRF,62/185,No
"Wardscale Dragon",1,55324,Uncommon,FRF,30/185,No
"Soul Summons",1,55368,Common,FRF,26/185,No
"Fearsome Awakening",1,55620,Uncommon,FRF,69/185,No
"Orc Sureshot",1,55594,Uncommon,FRF,78/185,No
"Break Through the Line",1,55638,Uncommon,FRF,94/185,No
"Qarsi High Priest",1,55422,Uncommon,FRF,80/185,No
"Sibsig Muckdraggers",1,55654,Uncommon,FRF,83/185,No
"Mistfire Adept",1,55394,Uncommon,FRF,42/185,No
"Honor's Reward",1,55486,Uncommon,FRF,14/185,No
"Refocus",1,55574,Common,FRF,47/185,No
"Battle Brawler",1,55340,Uncommon,FRF,63/185,No
"Grave Strength",1,55610,Uncommon,FRF,71/185,No
