Card Name,Quantity,ID #,Rarity,Set,Collector #,Premium,
"Temur Charm",1,54132,Uncommon,KTK,208/269,No
"Zurgo Helmsmasher",1,54250,Mythic Rare,KTK,214/269,No
"Trap Essence",1,54442,Rare,KTK,209/269,No
"Villainous Wealth",1,54448,Rare,KTK,211/269,No
"Warden of the Eye",1,54052,Uncommon,KTK,212/269,No
"Longshot Squad",1,54380,Common,KTK,140/269,No
"Savage Knuckleblade",1,54186,Rare,KTK,197/269,No
"Sidisi, Brood Tyrant",1,54256,Mythic Rare,KTK,199/269,No
"Efreet Weaponmaster",1,54412,Common,KTK,175/269,No
"Flying Crane Technique",1,54438,Rare,KTK,176/269,No
"Mardu Roughrider",1,54050,Uncommon,KTK,187/269,No
"Master the Way",1,54146,Uncommon,KTK,188/269,No
"Bear's Companion",1,54054,Uncommon,KTK,167/269,No
"Death Frenzy",1,54148,Uncommon,KTK,172/269,No
"Witness of the Ages",1,54154,Uncommon,KTK,228/269,No
"Ugin's Nexus",1,54462,Mythic Rare,KTK,227/269,No
"Briber's Purse",1,54158,Uncommon,KTK,217/269,No
"Dragon Throne of Tarkir",1,54460,Rare,KTK,219/269,No
"Jeskai Charm",1,54130,Uncommon,KTK,181/269,No
"Kheru Lich Lord",1,54444,Rare,KTK,182/269,No
"Mardu Ascendancy",1,54430,Rare,KTK,185/269,No
"Mardu Charm",1,54128,Uncommon,KTK,186/269,No
"Sage of the Inward Eye",1,54184,Rare,KTK,195/269,No
"Sagu Mauler",1,54190,Rare,KTK,196/269,No
"Temur Ascendancy",1,54440,Rare,KTK,207/269,No
"Hooting Mandrills",1,54040,Common,KTK,137/269,No
"Incremental Growth",1,54402,Uncommon,KTK,138/269,No
"Abzan Ascendancy",1,54426,Rare,KTK,160/269,No
"Abzan Guide",1,54136,Common,KTK,162/269,No
"Dragonscale Boon",1,54382,Common,KTK,131/269,No
"Ainok Tracker",1,54020,Common,KTK,96/269,No
"Arc Lightning",1,54114,Uncommon,KTK,97/269,No
"Arrow Storm",1,54358,Common,KTK,98/269,No
"Ashcloud Phoenix",1,54376,Mythic Rare,KTK,99/269,No
"Ankle Shanker",1,54476,Rare,KTK,164/269,No
"Sultai Ascendancy",1,54446,Rare,KTK,203/269,No
"Highspire Mantis",1,54422,Uncommon,KTK,177/269,No
"Sagu Archer",1,54038,Common,KTK,146/269,No
"Scout the Borders",1,54388,Common,KTK,148/269,No
"Meandering Towershell",1,54404,Rare,KTK,141/269,No
"See the Unwritten",1,54408,Mythic Rare,KTK,149/269,No
"Seek the Horizon",1,54122,Uncommon,KTK,150/269,No
"Sultai Charm",1,54134,Uncommon,KTK,204/269,No
"Winterflame",1,54450,Uncommon,KTK,213/269,No
