Card Name,Quantity,ID #,Rarity,Set,Collector #,Premium,relevant,highest
"Kindly Stranger",1,60390,Uncommon,SOI,119/297,No,0.01,0.01
"Awoken Horror",1,59876,Rare,SOI,92/297,No,1.73,19.24
"Olivia, Mobilized for War",1,59946,Mythic Rare,SOI,248/297,No,2.59,2.90
"Thraben Gargoyle",1,60292,Uncommon,SOI,266/297,No,0.01,2.14
"Harness the Storm",1,59994,Rare,SOI,163/297,No,0.02,3.52
"Burn from Within",1,60200,Rare,SOI,148/297,No,0.01,1.18
"Vessel of Nascency",1,60230,Common,SOI,237/297,No,0.01,0.93
"Relentless Dead",1,60018,Mythic Rare,SOI,131/297,No,2.33,2.33
"Graf Mole",1,60210,Uncommon,SOI,207/297,No,0.01,0.01
"Thing in the Ice",1,59868,Rare,SOI,92/297,No,1.73,1.73
"Brain in a Jar",1,59778,Rare,SOI,252/297,No,0.32,0.32
"Sin Prodder",1,59914,Rare,SOI,181/297,No,0.35,0.35
"Accursed Witch",1,60370,Uncommon,SOI,97/297,No,0.01,5.15
"Game Trail",1,59894,Rare,SOI,276/297,No,0.84,22.70
"Mindwrack Demon",1,59910,Mythic Rare,SOI,124/297,No,1.50,29.65
"Wolf of Devil's Breach",1,60224,Mythic Rare,SOI,192/297,No,0.12,17.85
"Port Town",1,59926,Rare,SOI,278/297,No,0.64,161.88
"Soul Swallower",1,60136,Rare,SOI,230/297,No,0.01,4.92
"Startled Awake",1,60014,Mythic Rare,SOI,88/297,No,1.04,1.04
"Bound by Moonsilver",1,59974,Uncommon,SOI,7/297,No,0.01,0.05
"Geralf's Masterpiece",1,60294,Mythic Rare,SOI,65/297,No,0.30,2.64
